景点名称,景区评级,地点,标签列表,热度值,评分,评价数量
《呼唤光的名字吧》经典奥特曼主题展-郑州站,,郑州,,2.1,,
濮阳毛楼生态旅游区,,范县,"饱览黄河风光，游乐项目多, 自然山水",2.1,4.1,58条点评
慈胜寺,,温县,历史建筑,2.1,4.5,19条点评
郑州松鼠部落森林假日公园,,荥阳,"可以喂小动物的游乐园, 遛娃宝藏地",2.1,3.5,161条点评
天境,,林州,地标观景,2.1,,
华佗之墓,,许昌,,2.1,5,3条点评
见龙瀑,,辉县,,2.1,,
九龙鼎,,洛阳,夜游观景,2.1,4.1,7条点评
郑州市绿城广场,,郑州,"市民群众休闲锻炼的场所, 地标观景",2.1,4.7,123条点评
郑州市绿城广场,,郑州,"市民群众休闲锻炼的场所, 地标观景",2.1,4.7,123条点评
象湖生态湿地公园,,中牟,自然山水,2.1,5,3条点评
云台山360极限飞球,,修武,,2.1,4.3,16条点评
北宋官瓷博物馆,,开封,博物馆&展馆,2.1,,
潘杨二湖,,开封,,2.1,,
中山铺村,,信阳,历史建筑,2.1,4,1条点评
朝歌老街,,淇县,,2.1,,
白河国家城市湿地公园,,南阳,自然山水,2.1,5,2条点评
南阳市汉画馆,,南阳,博物馆&展馆,2.1,5,1条点评
杜甫故里文化园,,巩义,,2.1,5,3条点评
万岁山大宋武侠城-环形剧场,,开封,古镇古村,2.1,3.5,2条点评
万岁山大宋武侠城-环形剧场,,开封,,2.1,,
袁桥古村,,登封,古镇古村,2.1,3.5,2条点评
一线天,,辉县,"乘观光电梯览崖上壮观美景, 自然山水",2.1,4.7,40条点评
初祖庵大殿,,登封,历史建筑,2.1,4.9,41条点评
周口市雾烟山风景区,,扶沟,"扶沟八景之一, 登高爬山",2.0,5,9条点评
新乡辉县滑翔伞飞行基地,,辉县,,2.1,5,4条点评
比亚迪迪空间|郑州馆,,郑州,"近三年新开, 提前2小时预约",2.1,5,3条点评
信阳青年营地,,信阳,露营·营地,2.1,4.8,5条点评
汤阴县羑里周易博物馆,,汤阴,博物馆&展馆,2.1,5,1条点评
洗澡堂,,郑州,,2.1,,
开票监印室,,社旗,博物馆&展馆,2.1,3.6,8条点评
开票监印室,,社旗,,2.1,,
老君山风景名胜区-飞来峰,,栾川,,2.1,,
宝丰汝窑博物馆,,宝丰,博物馆&展馆,2.1,3.6,8条点评
梦桃源度假村,,洛阳,度假村,2.1,,
东湖沙滩浴场,,濮阳,海滩&岛屿,2.1,,
中华第一龙,,濮阳县,,2.1,,
商丘方特欢乐世界,,商丘,,2.1,,
郑州金水黄河最美观景点,,郑州,,2.1,,
梦溪园,,郑州,"苏式园林小园, 园林花园",2.1,4.4,25条点评
刘邓大军千里跃进大别山纪念馆,,新县,历史建筑,2.1,,
丹分沟,,辉县,"奇形怪状，丹分沟的山体景观, 自然山水",2.1,4.8,22条点评
丹分沟,,辉县,"奇形怪状，丹分沟的山体景观, 自然山水",2.1,4.8,22条点评
濮阳海洋馆,,濮阳,动物园&水族馆,2.1,4.1,77条点评
伏牛山,,栾川,"中国亚热带和暖温带分界线, 登高爬山",2.1,4.7,24条点评
开封银滩,,开封,海滨沙滩,2.1,3.8,4条点评
奇幻森林王国,,郑州,游乐场,2.1,5,1条点评
凤栖湖景区,,睢县,夜游观景,2.1,,
杜甫墓,,洛阳,,2.1,5,1条点评
上河城,,平舆,"江南文化的体验式特色街区, 夜游观景",2.1,4.6,46条点评
陈胜园景区,,永城,,2.1,4.3,3条点评
黄河之水天上来,,商丘,,2.1,,
洛阳八小景-瀍壑朱樱,,洛阳,公园&植物园,2.1,5,1条点评
洛阳八小景-瀍壑朱樱,,洛阳,公园&植物园,2.1,5,1条点评
将军山风景区,,新县,登高爬山,2.1,,
白马潭,,栾川,"巨大的天然氧吧, 自然山水",2.1,4.7,5条点评
候车大厅,,中牟,,2.1,5,1条点评
青龙宫,,武陟,历史建筑,2.1,5,1条点评
开封城墙骑乐园,,开封,"保留北宋防御功能的古城墙, 历史建筑",2.1,4.5,55条点评
尧山景区-祈福大殿,,鲁山,,2.1,,
鸾州渡·假日小镇,,栾川,夜游观景,2.1,5,1条点评
CBD广场,,郑州,"郑州市地标建筑, 城市漫步",2.1,4.8,32条点评
牡丹园,,洛阳,,2.1,,
红石崖风景区,,遂平,历史建筑,2.1,4.5,5条点评
红石崖风景区,,遂平,,2.1,,
福胜寺塔,,邓州,历史建筑,2.1,4.5,5条点评
郑州自然博物馆,,郑州,科技馆,2.0,2,1条点评
文博广场,,洛阳,地标观景,2.1,4,2条点评
固始博物馆,,固始,"以姓氏寻根为主题的博物馆, 博物馆&展馆",2.1,4.5,2条点评
芒山镇,,永城,刘邦斩蛇起义的发生地,2.1,4.4,46条点评
焦作云台山风景名胜区-点将台,,陵川,地标观景,2.0,5,1条点评
木札岭漂流,,嵩县,,2.1,3.5,21条点评
刘秀墓冢,,洛阳,,2.0,5,1条点评
三皇寨景区-观景台,,登封,,2.1,,
首阳山森林公园,4A,洛阳,自然山水,2.0,5,3条点评
首阳山森林公园,,洛阳,自然山水,2.0,5,3条点评
河南省白龟山水库,,平顶山,"波光粼粼、风景如画, 自然山水",2.1,3.8,44条点评
焦裕禄精神体验教育基地,,兰考,,2.0,5,8条点评
天宁寺三圣塔,,沁阳,历史建筑,2.0,,
黄河观景台,,中牟,地标观景,2.0,,
祥龙谷景区,4A,舞钢,"登山赏景，畅玩趣味水乐园, 自然山水",2.0,4,76条点评
万岁寺,,开封,,2.0,,
郑州百年德化历史文化街区,,郑州,,2.0,,
大雄宝殿,,开封,历史建筑,2.0,4.5,2条点评
仲景养生小镇,,西峡,城市漫步,2.0,3,2条点评
宜阳莲花水上乐园,,宜阳,水上乐园&水世界,2.0,3,1条点评
宜阳莲花水上乐园,,宜阳,水上乐园&水世界,2.0,3,1条点评
天心洞,,内乡,自然山水,2.0,3.6,8条点评
万佛山景区,,洛阳,,2.0,,
郑州 · 东映原版动漫授权舞台剧《屁屁老爹&屁屁侦探：伟大的联手》,,郑州,演出,2.1,,
借钱庙,,登封,,2.0,,
大型实景剧曹操,,许昌,,2.0,,
古洞窑服务区,,修武,,2.0,4,1条点评
古秦赵会盟台,,渑池,历史建筑,2.0,3.6,38条点评
高阳山,,三门峡,登高爬山,2.0,4.7,7条点评
再现·大邑商·行浸式演艺,,安阳,,2.0,,
河南省人民会堂,,郑州,演出,2.0,5,1条点评
河南省人民会堂,,郑州,演出,2.0,5,1条点评
中国河南鲁山佛泉寺,,鲁山,,2.0,4.7,3条点评
清明上河图展室,,开封,,2.0,,
永泰陵,,巩义,历史建筑,2.0,3,6条点评
渑池博物馆,,渑池,博物馆&展馆,2.0,4.3,11条点评
东岳民俗文化村,,光山,,2.0,,
长生谷,,信阳,,2.0,,
洛阳老子纪念馆,,洛阳,,2.0,4,6条点评
汝州女儿城,,汝州,历史建筑,2.0,4,1条点评
芒砀山汉文化博物馆,,永城,,2.0,5,1条点评
曲村地坑院景区,,三门峡,演出,2.0,4.3,3条点评
曲村地坑院景区,,三门峡,,2.0,,
林州太行车技秀,,林州,演出,2.0,4.3,3条点评
水帘仙宫瀑布,,栾川,"瀑布、溶洞美不胜收, 自然山水",2.0,5,9条点评
七里沟风景区-露营地,,鹤壁,,2.0,,
巩义市北宋皇陵管理处,,巩义,,2.0,,
登封马庄水库,,登封,自然山水,2.0,5,1条点评
郑州山海砗磲博物馆,,郑州,博物馆&展馆,2.0,5,3条点评
诸葛躬耕园,,南阳,历史建筑,2.0,5,3条点评
豫见奇妙动物标本馆,,周口,近两年新开,2.0,5,1条点评
洛阳神都牡丹园,,洛阳,公园&植物园,2.0,,
比亚迪郑州赛车场,,新郑,科技馆,2.0,4,2条点评
比亚迪郑州赛车场,,新郑,,2.0,,
铁塔公园-开宝胜景,,开封,,2.0,,
伏羲阁,,新密,,2.0,,
黄淮大丰收乡村世界(潢川店),,潢川,,2.0,4,2条点评
兵部寨古村落,,辉县,,2.0,,
开封府-正厅,,开封,,2.0,5,1条点评
洛阳市科技馆,,洛阳,科技馆,2.0,3.7,3条点评
黄河国家博物馆,,郑州,博物馆&展馆,2.0,,
石头村,,南召,古镇古村,2.0,,
西九华山景区-茶山观赏区,,固始,自然山水,2.0,2,2条点评
大禹山风景区,4A,禹州,"田园水乡融合北方江南风光, 夜游观景",2.0,5,1条点评
大禹山风景区,,禹州,,2.0,5,1条点评
凤湖景区,4A,原阳,"田园水乡融合北方江南风光, 夜游观景",2.0,5,7条点评
乌蓬船-乘船点,,洛阳,,2.0,,
仙那度(云台山水奇境小镇),,修武,,2.0,,
经济舱,,济源,,2.0,,
铜山湖森林公园,,泌阳,"险似华山，秀似黄山, 登高爬山",2.0,4.4,30条点评
汤泉良子(洛龙店),,洛阳,,2.0,,
世博中国馆,,淅川,,2.0,,
云梦山风景区-南天门,,淇县,,2.0,,
洛阳大唐牡丹园,,伊川,,2.0,5,1条点评
望京楼,4A,卫辉,"一座石构无梁殿古建筑, 历史建筑",2.1,4.6,31条点评
望京楼,,卫辉,"一座石构无梁殿古建筑, 历史建筑",2.1,4.6,31条点评
释源美术馆,,洛阳,,2.0,4.3,7条点评
西莲寺,,辉县,,2.0,,
商丘人民公园,,商丘,"园林景观，游玩设施齐全, 公园&植物园",2.0,4.1,96条点评
黄洋界哨口,,临颍,,2.0,,
陆浑渡假村,,嵩县,度假村,2.0,,
热带植物展览温室,,郑州,,2.0,5,2条点评
唐韵生态旅游区,4A,鄢陵,,2.0,4,2条点评
洛阳东周王城遗址,,洛阳,,1.9,,
三合温泉度假村,,上蔡,度假村,2.0,,
程家大院,,洛宁,历史建筑,2.0,3,5条点评
程家大院,,洛宁,历史建筑,2.0,3,5条点评
许世友将军墓地,,新县,,,,
东风渠生态文化公园,,郑州,公园&植物园,2.0,4.8,4条点评
长葛市毛主席纪念馆,,长葛,,,,
东方水上元宇宙,,南阳,乘船游览,2.0,5,3条点评
《新年画吉》大运河木版年画艺术展,,洛阳,特色展馆,2.0,,
太行第一路,,辉县,城市漫步,2.0,,
伏羲陵墓,,周口,,2.0,,
王屋山国家地质公园,,济源,,2.0,5,8条点评
雁鸣湖风景区,,中牟,"体验苇荡寻鹤的新奇, 乘船游览",2.0,3,16条点评
红石峡-黑龙潭,4A,修武,"乘游艇赏两岸美景, 自然山水",2.0,4.5,32条点评
红石峡-黑龙潭,,修武,"乘游艇赏两岸美景, 自然山水",2.0,4.5,32条点评
新乡市潞简王墓博物馆,,新乡,博物馆&展馆,2.0,,
龙源湖公园,,焦作,公园&植物园,2.0,4.5,17条点评
濮公山,4A,息县,,2.0,5,1条点评
悬崖秋千(河南宝泉旅游度假区),,辉县,,2.0,,
洛河,,洛阳,夜游观景,2.0,,
石鼓山景区,,商城,登高爬山,2.0,,
中国南阳伏牛山世界地质公园,,西峡,,2.0,,
藏经阁,,登封,"寺院讲经说法藏经的场所, 历史建筑",2.0,4.7,97条点评
云台山世界地质公园博物馆,,修武,"馆内壮观展品丰富, 博物馆&展馆",2.0,3.8,51条点评
云中漫步(中原福塔店),,郑州,夜游观景,2.0,5,4条点评
云中漫步(中原福塔店),,郑州,,2.0,5,4条点评
恩州驿,,焦作,夜游观景,2.0,,
老界岭,,嵩县,夜游观景,2.0,,
龙峪湾国家森林公园-鸡角尖,,西峡,,2.0,5,1条点评
九龙山,,安阳,登高爬山,2.0,,
中国伏牛山世界地质公园,,栾川,,2.0,5,1条点评
金色印象·4K影院式足体养生(二七广场店),,郑州,近一年新开,2.0,,
周口植物园,,周口,公园&植物园,2.0,,
周口师范学院,,周口,需提前预约,2.0,4.7,45条点评
双峰山雪花洞景区,,安阳,随买随用,2.0,5,1条点评
周口公园,,周口,"风景秀丽，设有军事博览园, 夜游观景",2.0,4.5,38条点评
周口公园,,周口,"风景秀丽，设有军事博览园, 夜游观景",2.0,4.5,38条点评
云台山直升机飞行基地,,修武,,2.0,,
钟楼,,洛阳,,2.0,5,1条点评
王相岩-观景台,,林州,,2.0,,
小鹿森林,,新密,,2.0,5,1条点评
嵩山少林风景区-吊桥,,登封,,2.0,,
神农山庄,,新密,,2.0,,
皇宋大观文化园,,开封,,2.0,,
皇帝陵,,巩义,,2.0,,
开封黄河悬河文化展示馆,,开封,,2.0,,
黄帝宫,,新密,"中华人文始祖圣地, 历史建筑",2.0,3.3,35条点评
黄帝宫,,新密,"中华人文始祖圣地, 历史建筑",2.0,3.3,35条点评
橙空间-Orangespace,,郑州,,2.0,,
包公祠-办公室,,开封,,2.0,5,1条点评
勇闯海王殿,,新密,,2.0,5,1条点评
姜太公故里,,卫辉,历史建筑,2.0,3,1条点评
周口市白沙滩游乐园,,周口,,2.0,,
小颐庐,,信阳,,2.0,3,1条点评
沁阳和生森林动物乐园,,沁阳,主题乐园&游乐场,2.0,,
神农山风景区-龙脊长城,,沁阳,,2.0,2,1条点评
黄毛尖星空露营,,新县,,2.0,,
岳山寺,,郑州,毛主席坐像,2.0,4.3,17条点评
岳山寺,,郑州,毛主席坐像,2.0,4.3,17条点评
洛阳围棋博物馆,,洛阳,博物馆&展馆,2.0,3,2条点评
蝴蝶泉风景区,,鲁山,,2.0,,
CBD会展中心,,郑州,场馆展馆,1.9,5,2条点评
雷峰塔,,淅川,,2.0,,
毛主席视察黄河处,,开封,,,,
山陕会馆,,郏县,历史建筑,2.0,5,1条点评
八里峡,,新安,,1.9,,
三皇寨禅院,,登封,,1.9,,
石头村,,内乡,"古建筑面积5620平方米, 古镇古村",1.9,5,8条点评
上善门,,开封,开封城浓墨重彩的标志建筑,1.9,5,1条点评
上善门,,开封,开封城浓墨重彩的标志建筑,1.9,5,1条点评
开封恒大童世界,,开封,儿童乐园,1.9,,
火烧新野遗址,,新野,历史建筑,2.0,,
迷失河谷,,新密,,2.0,,
信阳毛尖网红茶园打卡基地,,信阳,,1.9,,
金殿,,栾川,,1.9,,
延庆观-地下展厅,,开封,,1.9,5,1条点评
安阳林州太行山国际滑雪场,,林州,"拥有三台进口造雪机, 户外滑雪",1.9,5,14条点评
定国禅寺,,新乡,,1.9,5,1条点评
老君山风景名胜区-老君天瀑景区,,栾川,,1.9,,
三度湖山户外营地,4A,郑州,"引进众多特色种植养殖品种, 自然山水",1.9,4,38条点评
三度湖山户外营地,,郑州,,1.9,,
镇平县彭雪枫纪念馆,,镇平,需提前预约,,,
龙泉湖游乐场-豪华自控飞机,,武陟,,1.9,,
大宋汴河灯影,,开封,,1.9,,
黄河富景生态世界,4A,原阳,"引进众多特色种植养殖品种, 自然山水",1.9,4,38条点评
九龙桥,,开封,桥上山风阵阵，桥下流水潺潺,1.9,5,1条点评
郑州龙湖公园-黑川纪章纪念广场,,郑州,"纪念建筑师黑川，造型独特, 地标观景",1.9,4,4条点评
观音山,,商城,"休闲放松的理想去处, 登高爬山",1.9,2,11条点评
新郑南街古巷,,新郑,城市漫步,1.9,,
万仙山景区-天池,,辉县,自然山水,1.9,4.2,11条点评
航海体育场,,郑州,"现为建业足球俱乐部的主场, 场馆展馆",1.9,5,11条点评
航海体育场,,郑州,"现为建业足球俱乐部的主场, 场馆展馆",1.9,5,11条点评
三角湖公园,,安阳,"以园林造型和植物种类多为主要特色, 公园&植物园",1.9,4.8,98条点评
好想你红枣小镇,,新郑,地标观景,1.9,4.6,9条点评
大垴村,,林州,,1.9,,
鲁班豁,,林州,,1.9,5,1条点评
飞来石景区,,嵩县,自然山水,1.9,5,4条点评
崇法寺塔,,永城,"欣赏南北融合的造塔艺术, 历史建筑",1.9,3.9,48条点评
鹿鸣湖,,许昌,自然山水,1.9,,
中原国际博览中心,,郑州,,1.9,,
焦作云台山风景名胜区-百家岩,,修武,登高爬山,1.9,4.1,76条点评
VISION WALK永远的盛唐行浸式VR（龙门古街店）,,洛阳,"豫西地区较大的明清古民居, 历史建筑",1.9,5,3条点评
VISION WALK永远的盛唐行浸式VR（龙门古街店）,,洛阳,近三年重开,1.9,5,3条点评
宋城博物馆,,开封,,1.9,,
河南省档案馆,,郑州,,1.9,5,4条点评
自驾车旅游营地,,林州,,1.9,,
极地动物馆,,中牟,,1.9,,
卫坡古村落文化旅游区,,洛阳,"豫西地区较大的明清古民居, 历史建筑",1.9,3,8条点评
五龙潭(瀑),,新安,自然山水,1.9,,
九州池-临波阁,,洛阳,,1.9,5,1条点评
蓝宝石温泉水世界,,濮阳,"带孩子体验水上滑梯项目, 遛娃宝藏地",1.9,3.5,22条点评
东篱院汉服文化馆,,安阳,,1.9,,
明清珍宝馆,,郑州,主题乐园&游乐场,1.9,5,3条点评
明清珍宝馆,,郑州,,1.9,,
文新茶叶生态体验园,,信阳,,1.9,,
函谷关关楼,,灵宝,,1.9,,
樱桃沟欢乐王国,,郑州,主题乐园&游乐场,1.9,5,3条点评
邵雍故居,,洛阳,历史建筑,1.9,5,9条点评
C75太空舱野奢露营地,,新密,精致露营品质餐饮特色活动,1.9,,
震雷山,,信阳,登高爬山,1.9,4.7,68条点评
淘气猫(淯阳桥店),,南阳,"拥有多种惊险有趣的水上游乐项目, 水上乐园&水世界",1.9,4.2,45条点评
牧云山,,嵩县,登高爬山,1.9,5,1条点评
凤凰古寨观景台,,辉县,,1.9,,
过崖吊桥,,登封,"索桥壮观，可一览秀丽山景, 地标观景",1.9,4.7,43条点评
过崖吊桥,,登封,"索桥壮观，可一览秀丽山景, 地标观景",1.9,4.7,43条点评
古树苑公园,,郑州,"漫步林间小道，赏百年古树, 自然山水",1.9,4.5,33条点评
香山天坑,,驻马店,历史建筑,1.9,1,1条点评
人民公园,,安阳,"绿树成荫，四季花香宜人, 公园&植物园",1.9,4.6,122条点评
将军渡纪念馆,,台前,,1.9,,7条点评
万佛岭,,遂平,登高爬山,1.9,5,3条点评
景区观光巴士黑石岭服务区乘车点,,修武,,1.9,5,1条点评
普兰斯薰衣草庄园,,郑州,"拥有二百多亩薰衣草花田, 遛娃宝藏地",1.9,2.9,158条点评
嵩山大峡谷,,巩义,,1.9,4,2条点评
金色阳光,,信阳,,1.9,,
老家莫沟,4A,孟州,体验窑洞特色，品耕读文化,1.9,4.5,8条点评
老家莫沟,4A,孟州,体验窑洞特色，品耕读文化,1.9,4.5,8条点评
郭亮洞,,辉县,,1.9,,
郑州 · 声匠乐团《暮光之城》《加勒比海盗》好莱坞电影金曲作品音乐会,,郑州,音乐会,1.9,,
玉带桥,,开封,,1.9,,
西水坡遗址,,濮阳县,历史建筑,1.9,,
太行山传奇,,辉县,近一年新开,1.9,,
开元湖健康主题公园,,洛阳,自然山水,1.9,4.7,19条点评
郑东新区湿地公园,,郑州,"集科普、休闲观赏于一体, 自然山水",1.9,4.5,98条点评
三皇寨景区-连天峰,,登封,登高爬山,1.9,5,17条点评
南裹头广场,,郑州,地标观景,1.9,4.7,3条点评
郭亮大峡谷漂流,,辉县,"溶洞曲折幽深，钟乳石众多, 自然山水",1.9,3,2条点评
郭亮大峡谷漂流,,辉县,近两年新开,1.9,3,2条点评
祥云观景台,,辉县,,1.9,,
云台溶洞景区,,修武,"溶洞曲折幽深，钟乳石众多, 自然山水",1.9,2.5,23条点评
开封文庙,,开封,历史建筑,1.9,4,1条点评
安远门,,开封,历史建筑,1.9,4,5条点评
洛阳龙凤山蹦极,,伊川,,1.9,,
唐韵樱花园,,鄢陵,"园内建筑各具特色, 遛娃宝藏地",1.9,4.2,30条点评
蝴蝶谷,,巩义,自然山水,1.9,5,1条点评
嵩山直升机空中旅游,,登封,,1.9,,
洛阳市上清宫森林公园-翠云峰,,洛阳,自然山水,1.9,,
北泉寺,,驻马店,"历史悠久，寺庙规模宏大, 历史建筑",1.8,4.7,21条点评
北泉寺,,驻马店,"历史悠久，寺庙规模宏大, 历史建筑",1.8,4.7,21条点评
扁鹊庙,,汤阴,,1.9,,
千佛阁,,武陟,"因楼上有千手千眼佛得名, 历史建筑",1.9,4.7,42条点评
佛光寺,,郑州,历史建筑,1.9,,
水上飞人载人体验,,辉县,,1.9,,
河南豫剧院,,郑州,,1.9,,
郑州市豫剧院,,郑州,,1.9,5,1条点评
郑州大象陶瓷博物馆,,郑州,"了解中原陶瓷的发展历史, 博物馆&展馆",1.9,4.8,15条点评
八角琉璃殿,,开封,,1.9,,
吕布墓,,武陟,,2.0,,
花王牡丹园,,洛阳,鸵鸟养殖基地，宜亲子互动,1.9,3.4,15条点评
花王牡丹园,,洛阳,,1.9,,
勺园,,洛阳,,1.9,,
好想你金鹭鸵鸟园,,新郑,鸵鸟养殖基地，宜亲子互动,1.9,3.4,15条点评
林州博物馆,,林州,博物馆&展馆,1.9,4.8,4条点评
太行山国际滑翔基地,,林州,飞行体验,1.9,,
林州市石板岩镇青石榴沟村小西天,,林州,,1.9,,
天下第一滑道,,鲁山,,1.9,5,2条点评
比奇堡冰雪海洋馆(二七广场馆),,郑州,动物园&水族馆,1.9,,
奉先寺码头,,洛阳,地标观景,1.9,5,1条点评
官渡之战遗址园,,中牟,,1.9,,
苏轼墓,,郏县,公园&植物园,1.9,4,2条点评
苏轼墓,,郏县,,1.9,4,2条点评
骊山老母宫,,栾川,,1.9,,
老君山大峡谷漂流票务中心,,栾川,,1.9,,
文博公园,,郑州,公园&植物园,1.9,4.5,45条点评
中原棋遇记,,荥阳,夜游观景,1.9,5,1条点评
伏羲山三泉湖景区-瀑布,,新密,,1.9,5,1条点评
大耳兔亲子乐园,,洛阳,游乐场,1.9,4.8,6条点评
韩汤汇韩式汗蒸生活馆,,郑州,洗浴泡汤,1.9,3.3,9条点评
云峰画廊,,辉县,美术馆&艺术馆,1.9,,
五月坊,,洛阳,,1.9,,
张良坟,,兰考,松柏苍翠、绿草如茵,1.9,4,18条点评
张良坟,,兰考,松柏苍翠、绿草如茵,1.9,4,18条点评
古马道,,开封,历史建筑,1.9,,
天中山文化园,,汝南,占地面积约一千亩,1.9,4.4,32条点评
范仲淹墓,,伊川,历史建筑,1.9,3,8条点评
焦作怪坡园,,焦作,"带孩子来玩益智类游戏, 遛娃宝藏地",1.9,4.3,103条点评
经典奥特曼光的乐园(中原万达店),,郑州,,1.9,,
太行平湖观景台,,林州,,1.9,,
隋唐古城墙遗址,,洛阳,,1.9,,
双龙温泉,,临颍,,1.9,,
河南A计划精品自驾游野奢营地,,荥阳,,1.9,,
平安驿.逗街,,商城,城市漫步,1.9,5,1条点评
平安驿.逗街,,商城,城市漫步,1.9,5,1条点评
上善若水,,兰考,洗浴泡汤,1.9,3,2条点评
四牌楼,,濮阳县,,1.9,4,1条点评
新乡市人民公园-新乡市动物园,,新乡,动物园&水族馆,1.9,,
黄河文化园,,清丰,,1.9,,
法云寺,,郑州,历史建筑,1.9,3,1条点评
平等街文化街区,,郑州,城市漫步,1.9,4,1条点评
广化寺,,洛阳,"寺内全部为仿清式建筑, 历史建筑",1.8,,55条点评
南阳人民公园-动物园,,南阳,动物园&水族馆,1.9,4.2,5条点评
扶来洲,,新密,,1.9,4.1,9条点评
太行峡谷漂流,,辉县,夜游观景,1.9,5,1条点评
太行峡谷漂流,,辉县,,1.9,5,1条点评
电影小镇旅游区,,中牟,夜游观景,1.9,,
郑州记忆油化厂香皂博物馆,,郑州,博物馆&展馆,1.9,5,1条点评
南环公园,,郑州,公园&植物园,1.9,4,1条点评
鲇鱼山水利风景区,,商城,"水域宽广，山水风光优美, 自然山水",1.9,5,13条点评
猕猴谷,,修武,,1.8,1,1条点评
兴洛湖公园,,洛阳,公园&植物园,1.8,4.5,2条点评
三省界碑,,淅川,,1.9,5,1条点评
水云天温泉商务会馆,,中牟,,1.9,,
舜帝宫挥公陵,,濮阳县,为纪念张姓始祖挥公而建,1.8,4.5,16条点评
牧野公园,4A,新乡,公园&植物园,1.9,5,8条点评
牧野公园,,新乡,公园&植物园,1.9,5,8条点评
冠云山,,灵宝,登高爬山,1.8,,
瑞贝卡欢乐园,,许昌,"游乐设施丰富, 遛娃宝藏地",1.9,3.3,41条点评
府司西狱,,开封,,1.8,,
黄河,,三门峡,自然山水,1.8,5,3条点评
梅花堂,,开封,,1.9,5,1条点评
青龙山后寺河风景区,,巩义,"水如碧玉，峰峦联亘, 登高爬山",1.8,4,11条点评
淮海战役陈官庄纪念馆,4A,永城,缅怀淮海战役烈士,1.8,,100条点评
白云山景区-中心服务区,,嵩县,,1.8,,
中国天文博物院,,登封,博物馆&展馆,1.8,,
《天地之中·‘镜’界郑州》全国摄影展,,郑州,特色展馆,1.9,5,1条点评
《天地之中·‘镜’界郑州》全国摄影展,,郑州,特色展馆,1.9,,
郑州市世纪公园,,郑州,夜游观景,1.9,,
朱雀苑广场-北宋东京城遗址,,开封,历史建筑,1.8,5,1条点评
沐王府(新安店),,新安,,1.8,,
南召猿人山滑雪场,,南召,"雪道种类齐全, 户外滑雪",1.8,4.5,22条点评
尧山想马河生态景区,,鲁山,"植被茂盛，水清石奇, 遛娃宝藏地",1.8,3.6,13条点评
王铎故居,,洛阳,"欣赏王铎的书法手迹, 历史建筑",1.8,3.7,27条点评
大熊猫馆,,栾川,,1.9,5,2条点评
八里沟景区大门,,辉县,,1.8,5,1条点评
冰雪世纪欢乐谷,,许昌,冰雪乐园,1.8,1,1条点评
毛泽东纪念堂,4A,获嘉,了解黄河的地质变迁,1.9,4.7,44条点评
毛泽东纪念堂,,获嘉,,1.9,,
郑州黄河文化公园-地质博物馆,,郑州,了解黄河的地质变迁,1.8,4.7,44条点评
汤泉汗蒸,,栾川,,1.9,5,1条点评
汴京公园动物园,,开封,动物园&水族馆,1.8,3,1条点评
中国云台山世界地质公园青天河园区,,博爱,"集游览、科普、休闲于一体, 登高爬山",1.8,4.6,21条点评
五龙口温泉度假村,,济源,度假村,1.8,,
确山竹沟革命纪念馆,4A,确山,需提前预约,1.8,,12条点评
伏牛山老界岭山地避暑旅游度假区,,西峡,,1.8,,
万盛水城,,焦作,"娱乐、度假一体的洗浴中心, 洗浴泡汤",1.8,5,4条点评
黑龙洞,,修武,自然山水,1.8,4,11条点评
千稼集景区,,新郑,用历史场景还原农村文化,1.8,3.3,17条点评
千稼集景区,,新郑,用历史场景还原农村文化,1.8,3.3,17条点评
太极拳祖祠,,温县,太极拳的发源地,1.8,5,29条点评
平顶山动物园,,平顶山,动物园&水族馆,1.8,2,1条点评
博望坡,,方城,历史建筑,1.8,4.5,8条点评
二七广场万达广场,,郑州,,1.8,,
驻马店市体育中心,,驻马店,场馆展馆,1.8,5,2条点评
大周山国际滑雪场,,新密,近两年新开,1.8,,
金顶山漂流,,驻马店,遛娃宝藏地,1.8,5,3条点评
汴河,,开封,夜游观景,1.8,,
《简载华章》安徽大学藏战国竹简展,,安阳,特色展馆,1.8,,
南阳卧龙岗景区-诸葛八卦阵,,南阳,"有假山、瀑布、亭台, 公园&植物园",1.8,4.8,79条点评
南阳卧龙岗景区-诸葛八卦阵,,南阳,,1.8,,
南阳人民公园,,南阳,"有假山、瀑布、亭台, 公园&植物园",1.8,4.8,79条点评
洛阳铲考古体验基地,,洛阳,,1.8,,
淮河源景区,,桐柏,,1.8,5,1条点评
轿顶山景区-观景台,,辉县,,1.8,,
陈桥湿地风景区,,封丘,,1.8,4.3,4条点评
龙舟竞赛码头-龙舟管理处,,舞钢,,1.8,,
南召百尺潭风景区,,南召,"壮丽秀美的六大瀑布, 登高爬山",1.8,4.7,24条点评
五龙山七彩乐园,,辉县,遛娃宝藏地,1.8,4.2,11条点评
中华五千年,,周口,仿古建筑展示五千年历史,1.8,3.8,25条点评
红石峡景区-九连瀑,,修武,"山环水绕、群峰壁立, 历史建筑",1.8,5,1条点评
红石峡景区-九连瀑,,修武,,1.8,,
洛阳豫剧院,,洛阳,,1.8,,
太行天路第三观景台梦幻谷,,林州,,1.8,,
神都洛阳,,洛阳,,1.8,,
女娲宫,,淇县,,1.8,5,1条点评
中原解放纪念馆,,宝丰,,1.8,5,1条点评
